[12-Dec-2020 10:19:12 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:19:12 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 367
[12-Dec-2020 10:19:12 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 367
[12-Dec-2020 10:20:07 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:20:07 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:20:07 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 367
[12-Dec-2020 10:20:07 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 367
[12-Dec-2020 10:22:10 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:22:10 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:22:10 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:22:10 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:22:36 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:22:36 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:22:36 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:22:36 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:22:36 Asia/Krasnoyarsk] PHP Warning:  mysqli_query() expects parameter 2 to be string, array given in /var/www/html/library/sqlquery.class.php on line 373
[12-Dec-2020 10:23:00 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:23:00 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:23:00 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:23:00 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:23:00 Asia/Krasnoyarsk] PHP Warning:  mysqli_query() expects parameter 2 to be string, array given in /var/www/html/library/sqlquery.class.php on line 373
[12-Dec-2020 10:23:56 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:23:56 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:23:56 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:23:56 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:23:56 Asia/Krasnoyarsk] PHP Warning:  mysqli_query() expects parameter 2 to be string, array given in /var/www/html/library/sqlquery.class.php on line 373
[12-Dec-2020 10:25:26 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:25:26 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
[12-Dec-2020 10:25:26 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:25:26 Asia/Krasnoyarsk] PHP Warning:  mysqli_real_escape_string() expects exactly 2 parameters, 1 given in /var/www/html/library/sqlquery.class.php on line 366
[12-Dec-2020 10:25:41 Asia/Krasnoyarsk] PHP Deprecated:  Function get_magic_quotes_gpc() is deprecated in /var/www/html/library/shared.php on line 28
[12-Dec-2020 10:25:41 Asia/Krasnoyarsk] PHP Notice:  Undefined index: Authorization in /var/www/html/library/shared.php on line 163
